day,temperature
0,-50.0
1,50.0
2,15.9
3,14.1
4,-8.5
5,16.5
6,50.0
7,19.2
8,-9.7
9,-50.0
10,50.0
11,-2.4
12,13.8
13,15.5
14,-50.0
15,8.5
16,8.8
17,50.0
18,0.7
19,-50.0
20,-3.3
21,-50.0
22,-50.0
23,50.0
24,10.3
25,-50.0
26,8.3
27,14.3
28,-5.0
29,-9.7
30,50.0
31,50.0
32,13.8
33,7.7
34,-6.4
35,-2.0
36,-50.0
37,10.5
38,9.1
39,-9.1
40,50.0
41,20.0
42,-50.0
43,50.0
44,-50.0
45,-50.0
46,9.2
47,16.4
48,10.1
49,18.1
50,-50.0
51,-50.0
52,-7.2
53,10.8
54,-50.0
55,-50.0
56,-6.0
57,-50.0
58,12.2
59,5.2
60,-50.0
61,-50.0
62,-50.0
63,-2.0
64,-50.0
65,-50.0
66,50.0
67,50.0
68,50.0
69,50.0
70,0.1
71,16.5
72,-8.3
73,-8.2
74,11.1
75,-7.1
76,-50.0
77,2.5
78,50.0
79,-10.0
80,10.3
81,-50.0
82,50.0
83,-5.6
84,-50.0
85,-8.6
86,50.0
87,1.7
88,10.9
89,-50.0
90,-50.0
91,0.5
92,-50.0
93,5.7
94,2.8
95,50.0
96,-50.0
97,-50.0
98,-50.0
99,15.1
100,10.0
101,50.0
102,-5.2
103,50.0
104,0.5
105,50.0
106,50.0
107,50.0
108,-50.0
109,-50.0
110,50.0
111,50.0
112,-50.0
113,18.1
114,50.0
115,-6.1
116,3.2
117,-0.8
118,50.0
119,50.0
120,-50.0
121,-50.0
122,50.0
123,-5.1
124,50.0
125,15.5
126,50.0
127,13.3
128,10.9
129,6.5
130,-1.2
131,5.2
132,50.0
133,6.1
134,17.3
135,7.7
136,10.1
137,-50.0
138,-2.2
139,-50.0
140,-50.0
141,-4.1
142,-50.0
143,-7.7
144,14.1
145,15.8
146,16.1
147,10.9
148,14.7
149,-50.0
150,50.0
151,50.0
152,-50.0
153,-50.0
154,50.0
155,-0.5
156,5.4
157,-50.0
158,50.0
159,-50.0
160,-8.7
161,-50.0
162,-8.8
163,50.0
164,8.0
165,17.2
166,-5.8
167,-50.0
168,0.3
169,-50.0
170,-50.0
171,0.4
172,-9.5
173,-50.0
174,50.0
175,50.0
176,50.0
177,8.6
178,50.0
179,-50.0
180,50.0
181,50.0
182,16.9
183,-50.0
184,50.0
185,50.0
186,10.2
187,6.2
188,6.2
189,-50.0
190,50.0
191,-5.2
192,9.4
193,7.6
194,-50.0
195,-7.5
196,50.0
197,13.2
198,8.7
199,13.4
200,50.0
201,18.3
202,-50.0
203,-5.4
204,-9.6
205,-8.9
206,-7.5
207,-3.9
208,14.3
209,-50.0
210,50.0
211,1.0
212,-6.2
213,-3.5
214,-8.7
215,14.5
216,-1.2
217,-0.8
218,6.2
219,-7.7
220,-50.0
221,-50.0
222,50.0
223,50.0
224,50.0
225,-0.3
226,-4.2
227,50.0
228,-3.9
229,50.0
230,16.8
231,50.0
232,3.7
233,18.2
234,1.8
235,-50.0
236,4.5
237,4.2
238,-50.0
239,15.1
240,-50.0
241,-50.0
242,1.7
243,50.0
244,50.0
245,-50.0
246,-50.0
247,-50.0
248,14.4
249,-50.0
250,50.0
251,-0.0
252,-50.0
253,-50.0
254,5.8
255,-50.0
256,-7.9
257,18.1
258,50.0
259,-50.0
260,50.0
261,-50.0
262,-50.0
263,50.0
264,18.3
265,-50.0
266,3.7
267,7.9
268,-50.0
269,13.6
270,-1.7
271,-50.0
272,5.3
273,-9.5
274,-50.0
275,19.1
276,4.3
277,50.0
278,0.2
279,-50.0
280,-50.0
281,50.0
282,12.1
283,-6.4
284,-5.8
285,-50.0
286,50.0
287,-7.7
288,-3.2
289,-50.0
290,7.0
291,50.0
292,-6.2
293,-2.1
294,50.0
295,9.0
296,50.0
297,6.0
298,3.1
299,-5.5
300,50.0
301,-50.0
302,-50.0
303,-50.0
304,50.0
305,7.5
306,50.0
307,19.7
308,-50.0
309,50.0
310,3.0
311,8.8
312,50.0
313,10.2
314,-50.0
315,-50.0
316,50.0
317,4.7
318,-5.9
319,16.9
320,-6.4
321,50.0
322,-50.0
323,-50.0
324,-50.0
325,50.0
326,-50.0
327,50.0
328,50.0
329,-8.8
330,-50.0
331,-6.4
332,-50.0
333,-50.0
334,19.4
335,11.6
336,50.0
337,17.8
338,50.0
339,9.5
340,-50.0
341,12.5
342,-8.6
343,4.9
344,-50.0
345,50.0
346,13.5
347,-50.0
348,-50.0
349,-2.0
350,4.3
351,5.1
352,-50.0
353,2.5
354,50.0
355,-50.0
356,-50.0
357,-50.0
358,0.5
359,18.6
360,-7.3
361,6.7
362,1.8
363,-1.4
364,-5.3
